,0,1
0,1,"[{'id': 1, 'x': 4240, 'y': -1799, 'valid': 'OK'}, {'id': 2, 'valid': 'KO'}, {'id': 3, 'x': 4236, 'y': -1794, 'valid': 'OK'}, {'id': 4, 'valid': 'KO'}, {'id': 5, 'x': 4235, 'y': -1789, 'valid': 'OK'}, {'id': 6, 'valid': 'KO'}, {'id': 7, 'valid': 'KO'}, {'id': 8, 'valid': 'KO'}, {'id': 9, 'x': 4233, 'y': -1788, 'valid': 'OK'}, {'id': 10, 'x': 4234, 'y': -1788, 'valid': 'OK'}]"
1,2,"[{'id': 1, 'x': 4186, 'y': -1710, 'valid': 'KO'}, {'id': 2, 'x': 4183, 'y': -1705, 'valid': 'KO'}, {'id': 3, 'x': 4182, 'y': -1703, 'valid': 'KO'}, {'id': 4, 'x': 4180, 'y': -1703, 'valid': 'KO'}, {'id': 5, 'x': 4180, 'y': -1703, 'valid': 'KO'}, {'id': 6, 'x': 4180, 'y': -1702, 'valid': 'KO'}, {'id': 7, 'x': 4180, 'y': -1700, 'valid': 'KO'}, {'id': 8, 'x': 4179, 'y': -1700, 'valid': 'KO'}, {'id': 9, 'x': 4179, 'y': -1701, 'valid': 'KO'}, {'id': 10, 'x': 4180, 'y': -1698, 'valid': 'KO'}]"
2,3,"[{'id': 1, 'x': 4239, 'y': -1787, 'valid': 'OK'}, {'id': 2, 'x': 4238, 'y': -1785, 'valid': 'OK'}, {'id': 3, 'x': 4237, 'y': -1785, 'valid': 'OK'}, {'id': 4, 'x': 4237, 'y': -1783, 'valid': 'OK'}, {'id': 5, 'x': 4237, 'y': -1782, 'valid': 'OK'}, {'id': 6, 'x': 4236, 'y': -1781, 'valid': 'OK'}, {'id': 7, 'x': 4236, 'y': -1781, 'valid': 'OK'}, {'id': 8, 'x': 4235, 'y': -1779, 'valid': 'OK'}, {'id': 9, 'x': 4235, 'y': -1778, 'valid': 'OK'}, {'id': 10, 'x': 4234, 'y': -1779, 'valid': 'OK'}]"
3,4,"[{'id': 1, 'x': 4234, 'y': -1789, 'valid': 'OK'}, {'id': 2, 'x': 4232, 'y': -1786, 'valid': 'OK'}, {'id': 3, 'x': 4232, 'y': -1784, 'valid': 'OK'}, {'id': 4, 'x': 4230, 'y': -1782, 'valid': 'OK'}, {'id': 5, 'x': 4230, 'y': -1782, 'valid': 'OK'}, {'id': 6, 'x': 4228, 'y': -1780, 'valid': 'OK'}, {'id': 7, 'x': 4229, 'y': -1781, 'valid': 'OK'}, {'id': 8, 'x': 4229, 'y': -1781, 'valid': 'OK'}, {'id': 9, 'x': 4229, 'y': -1780, 'valid': 'OK'}, {'id': 10, 'x': 4228, 'y': -1779, 'valid': 'OK'}]"
4,5,"[{'id': 1, 'x': 4241, 'y': -1796, 'valid': 'OK'}, {'id': 2, 'x': 4239, 'y': -1793, 'valid': 'OK'}, {'id': 3, 'x': 4238, 'y': -1791, 'valid': 'OK'}, {'id': 4, 'x': 4236, 'y': -1790, 'valid': 'OK'}, {'id': 5, 'x': 4237, 'y': -1788, 'valid': 'OK'}, {'id': 6, 'x': 4236, 'y': -1788, 'valid': 'OK'}, {'id': 7, 'x': 4235, 'y': -1787, 'valid': 'OK'}, {'id': 8, 'x': 4235, 'y': -1786, 'valid': 'OK'}, {'id': 9, 'x': 4235, 'y': -1786, 'valid': 'OK'}, {'id': 10, 'x': 4235, 'y': -1786, 'valid': 'OK'}]"
5,6,"[{'id': 1, 'x': 4188, 'y': -1720, 'valid': 'KO'}, {'id': 2, 'x': 4187, 'y': -1720, 'valid': 'KO'}, {'id': 3, 'x': 4187, 'y': -1718, 'valid': 'KO'}, {'id': 4, 'x': 4186, 'y': -1717, 'valid': 'KO'}, {'id': 5, 'x': 4186, 'y': -1716, 'valid': 'KO'}, {'id': 6, 'x': 4184, 'y': -1716, 'valid': 'KO'}, {'id': 7, 'x': 4184, 'y': -1714, 'valid': 'KO'}, {'id': 8, 'x': 4184, 'y': -1714, 'valid': 'KO'}, {'id': 9, 'x': 4184, 'y': -1713, 'valid': 'KO'}, {'id': 10, 'x': 4182, 'y': -1714, 'valid': 'KO'}]"
6,7,"[{'id': 1, 'x': 4190, 'y': -1719, 'valid': 'KO'}, {'id': 2, 'x': 4187, 'y': -1715, 'valid': 'KO'}, {'id': 3, 'x': 4186, 'y': -1714, 'valid': 'KO'}, {'id': 4, 'x': 4185, 'y': -1712, 'valid': 'KO'}, {'id': 5, 'x': 4185, 'y': -1711, 'valid': 'KO'}, {'id': 6, 'x': 4184, 'y': -1710, 'valid': 'KO'}, {'id': 7, 'x': 4184, 'y': -1710, 'valid': 'KO'}, {'id': 8, 'x': 4183, 'y': -1709, 'valid': 'KO'}, {'id': 9, 'x': 4183, 'y': -1708, 'valid': 'KO'}, {'id': 10, 'x': 4182, 'y': -1709, 'valid': 'KO'}]"
7,8,"[{'id': 1, 'x': 4243, 'y': -1798, 'valid': 'OK'}, {'id': 2, 'x': 4241, 'y': -1796, 'valid': 'OK'}, {'id': 3, 'x': 4240, 'y': -1791, 'valid': 'OK'}, {'id': 4, 'x': 4239, 'y': -1791, 'valid': 'OK'}, {'id': 5, 'x': 4240, 'y': -1790, 'valid': 'OK'}, {'id': 6, 'x': 4238, 'y': -1790, 'valid': 'OK'}, {'id': 7, 'x': 4237, 'y': -1788, 'valid': 'OK'}, {'id': 8, 'x': 4238, 'y': -1788, 'valid': 'OK'}, {'id': 9, 'x': 4237, 'y': -1788, 'valid': 'OK'}, {'id': 10, 'x': 4236, 'y': -1787, 'valid': 'OK'}]"
8,9,"[{'id': 1, 'x': 4235, 'y': -1791, 'valid': 'OK'}, {'id': 2, 'x': 4233, 'y': -1790, 'valid': 'OK'}, {'id': 3, 'x': 4232, 'y': -1787, 'valid': 'OK'}, {'id': 4, 'x': 4232, 'y': -1786, 'valid': 'OK'}, {'id': 5, 'x': 4230, 'y': -1785, 'valid': 'OK'}, {'id': 6, 'x': 4229, 'y': -1784, 'valid': 'OK'}, {'id': 7, 'x': 4231, 'y': -1783, 'valid': 'OK'}, {'id': 8, 'x': 4229, 'y': -1783, 'valid': 'OK'}, {'id': 9, 'x': 4229, 'y': -1782, 'valid': 'OK'}, {'id': 10, 'x': 4228, 'y': -1782, 'valid': 'OK'}]"
9,10,"[{'id': 1, 'x': 4231, 'y': -1784, 'valid': 'OK'}, {'id': 2, 'x': 4228, 'y': -1780, 'valid': 'OK'}, {'id': 3, 'x': 4226, 'y': -1779, 'valid': 'OK'}, {'id': 4, 'x': 4227, 'y': -1776, 'valid': 'OK'}, {'id': 5, 'x': 4227, 'y': -1776, 'valid': 'OK'}, {'id': 6, 'x': 4227, 'y': -1776, 'valid': 'OK'}, {'id': 7, 'x': 4226, 'y': -1774, 'valid': 'OK'}, {'id': 8, 'x': 4225, 'y': -1773, 'valid': 'OK'}, {'id': 9, 'x': 4225, 'y': -1774, 'valid': 'OK'}, {'id': 10, 'x': 4226, 'y': -1772, 'valid': 'OK'}]"
